MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
367362460,2017-12-12T00:00:02,29.74528,-95.09704,0.0,281.9,511.0,B L DARNELL,,WDE5130,1025,0,19.81,7.9,,
367680480,2017-12-12T00:00:02,37.54983,-76.33050,0.0,283.5,511.0,GALACTIC,,WDI2667,,,,,,
367327560,2017-12-12T00:00:01,29.65249,-94.26302,5.7,242.9,239.0,CINDY HULL,,WDE2631,1025,0,26.15,9.8,,
367738080,2017-12-12T00:00:03,47.62869,-122.39530,0.0,360.0,511.0,TEMPO,,WDI8385,1019,,13.41,,,
367683990,2017-12-12T00:00:03,29.59672,-94.39537,0.0,286.4,511.0,BEAU CAROLINE,,WDI3004,1005,15,25.3,,,
369008000,2017-12-12T00:00:04,37.00855,-76.19840,6.4,267.0,263.0,ELIZABETH ANNE,IMO9787510,WDI5309,1025,0,30.48,,,
311000393,2017-12-12T00:00:05,38.48093,-74.67767,11.9,322.8,320.0,CHALLENGER,IMO9722792,C6BX6,1024,0,225,,,
367666930,2017-12-12T00:00:05,40.92121,-73.16539,0.0,0.0,511.0,S-251SMITHTOWNDPS,,WDH9329,,0,,,,
367376640,2017-12-12T00:00:05,38.40853,-82.58463,0.0,85.2,311.0,MAP RUNNER,,WDE6160,1025,0,19.81,7.9,,
367596440,2017-12-12T00:00:06,29.46262,-89.68773,0.0,261.5,511.0,BATTLER,,WDH2322,,15,14.48,,,
367766740,2017-12-12T00:00:04,30.06948,-90.89562,0.1,243.6,511.0,SHAWN WILLIAMS,,WDJ3307,1025,0,,,,
338198876,2017-12-12T00:00:06,41.51445,-90.50796,1.1,337.0,511.0,CLEVA LEE,,WCY7707,1025,0,12.13,,,
367174060,2017-12-12T00:00:06,41.63365,-70.90732,0.1,239.0,86.0,EAGLE,IMO8705864,WCX5125,1012,0,71.02,18.3,,
367756350,2017-12-12T00:00:06,36.84224,-76.28996,8.5,102.1,104.0,MAXWELL PAUL MORAN,IMO9812559,WDJ2221,1025,0,,,,
366986350,2017-12-12T00:00:07,38.58053,-90.21948,0.0,248.6,511.0,SIDEWINDER,,WDC2004,1025,15,12.74,5.5,,
367767310,2017-12-12T00:00:08,27.84352,-97.07001,5.7,159.0,511.0,MICHAEL W BEHRENS,,WDJ3363,1012,15,,,,
367046140,2017-12-12T00:00:08,32.72297,-117.22708,0.0,360.0,511.0,JIG STRIKE,,WDC5769,1012,0,15.73,5.1,,
538005271,2017-12-12T00:00:11,27.51691,-94.24809,13.0,317.4,316.0,STENAWECO EVOLUTION,IMO9687942,V7CJ6,1024,0,183,32.2,,
319676000,2017-12-12T00:00:09,26.08857,-80.18227,0.0,152.9,258.0,WANDERLUST,IMO9465100,ZCTS,1013,0,49.95,9.31,,
367484260,2017-12-12T00:00:12,29.78840,-95.08046,0.0,288.2,511.0,SAVAGE HERITAGE,,WDF7414,1025,15,25.76,10.7,,
319619000,2017-12-12T00:00:08,26.71444,-80.04911,0.0,256.7,271.0,TOP FIVE,IMO9334478,ZCOR3,1019,0,47.9,9,2.3,37
367003370,2017-12-12T00:00:08,30.07070,-93.34269,0.0,48.9,511.0,GREGORY,,WDF2419,1025,12,21.34,8.5,,
367534010,2017-12-12T00:00:07,29.77143,-95.10181,0.0,273.4,511.0,SOPHIA GOLDING,,WDG4196,1025,0,27.49,,,
636011527,2017-12-12T00:00:13,20.02450,-70.63133,13.2,104.0,103.0,ORANGE SKY,IMO9228370,ELZU2,1024,0,171.59,27,,
338167758,2017-12-12T00:00:11,29.97292,-93.87362,0.0,308.3,511.0,RAMBLER 2,,,,,,,,
367135560,2017-12-12T00:00:13,31.88706,-81.08407,6.5,319.4,511.0,DADDY'S BOY,IMO8939520,WDD3742,1001,,23.23,7.32,,
367718020,2017-12-12T00:00:13,38.23853,-81.55354,0.0,360.0,511.0,COMPASS POINT,,WDI6371,1025,0,16.22,,,
477454900,2017-12-12T00:00:00,34.09625,-129.03403,19.7,96.8,96.0,OOCL GENOA,IMO9613587,VROK9,1004,0,334.82,,,
366995660,2017-12-12T00:00:01,41.45273,-88.16711,0.0,316.6,351.0,DIXIE CHALLENGE,,WDC2619,1025,12,30.63,10.4,,
367395250,2017-12-12T00:00:00,26.09307,-80.17168,0.0,255.7,88.0,BEACH GIRL,,WDE7602,1019,0,35.48,7.8,,
367507730,2017-12-12T00:00:00,28.14675,-96.90102,0.0,318.0,226.0,SAN ANTONIO,,WDF9683,1025,0,23.77,10.4,,
353295000,2017-12-12T00:00:01,34.54038,-121.25265,13.9,113.3,112.0,NYK AQUARIUS,IMO9262704,HPPZ,1004,0,299.9,40,,
367306940,2017-12-12T00:00:01,38.53970,-90.25169,0.2,320.0,511.0,MISS SHIRLEY,,WDD9105,1025,15,20.73,7.9,,31
367786830,2017-12-12T00:00:01,19.86847,-155.04835,2.2,190.3,511.0,JULIA,,WDJ5355,1019,,,,,
367015310,2017-12-12T00:00:01,30.65942,-88.04099,0.0,159.4,511.0,MISS MARION,,WDI5380,1025,15,15.39,6.7,,
366996690,2017-12-12T00:00:02,35.11935,-90.09702,5.9,80.5,511.0,LEVITICUS,,WDC2712,1025,0,42.21,11.6,,
367057530,2017-12-12T00:00:02,29.91627,-89.92206,0.1,209.8,279.0,SONNY IVEY,,WDC6528,1025,0,40.08,10.7,,
367326780,2017-12-12T00:00:01,48.13271,-123.42940,11.7,268.9,511.0,SEALTH ARROW,,WCX9294,1012,0,16.15,3.7,,
366759130,2017-12-12T00:00:03,47.61998,-122.51308,0.0,296.9,294.0,WSF PUYALLUP,IMO9137363,WCY7938,1012,15,138,27,,
367750350,2017-12-12T00:00:03,29.43146,-84.94762,2.2,251.8,511.0,ICHIBAN,,WDI9605,1001,,,,,
367480070,2017-12-12T00:00:03,28.55213,-96.83306,5.0,279.4,278.0,JOSEPHINE DEVALL,,WDF6999,1025,12,23.16,10.4,,
367702470,2017-12-12T00:00:02,29.92899,-90.19345,0.3,7.5,246.0,SAFETY LEGEND,,WDI4831,1025,0,21.34,8.5,,31
